"index	Startup Name",Industry,Ashneer Investment Amount,
0,BluePine Foods,Food,25
1,Booz Scooters,Electrical Vehicles,20
3,Tagz Foods,Food,70
15,Skippi Ice Pops,Food,20
18,Raising Superstars,Education,50
21,Beyond Snack,Food,25
23,Motion Breeze,Electrical Vehicles,30
29,EventBeep,Education,10
38,The Yarn Bazaar,Manufacturing,25
45,Bamboo India,Manufacturing,25
49,Find Your Kicks India,Beauty/Fashion,10
50,Aas Vidyalaya,Education,50
55,Otua,Electrical Vehicles,1
58,WeSTOCK,Animal/Pets,15
63,IN A CAN,Food,20
64,Get-A-Whey,Food,33.33
67,Hair Originals,Beauty/Fashion,20
108,Tweek Labs,Sports,20
109,Proxgy,Technology,50
110,Nomad Food Project,Food,10
114,Jain Shikanji,Food,10
