"index	Startup Name",Industry,Namita Investment Amount,
11,Bummer,Beauty/Fashion,37.5
15,Skippi Ice Pops,Food,20
16,Menstrupedia,Education,50
24,Altor,Manufacturing,25
27,Nuutjob,Beauty/Fashion,8.33
32,Farda,Beauty/Fashion,15
33,Auli,Beauty/Fashion,75
36,Annie,Education,35
39,The Renal Project,Medical,50
44,Cocofit,Food,1.60E-05
47,Beyond Water,Food,37.5
49,Find Your Kicks India,Beauty/Fashion,10
50,Aas Vidyalaya,Education,50
58,WeSTOCK,Animal/Pets,15
63,IN A CAN,Food,20
79,Sunfox Technologies,Medical,20
83,Rare Planet,Manufacturing,65
85,Watt Technovations,Medical,0.0002525
91,Wakao Foods,Food,25
95,Kabaddi Adda,Sports,40
106,Colour Me Mad - CMM,Beauty/Fashion,40
110,Nomad Food Project,Food,10
117,SneaKare,Beauty/Fashion,7
119,Store My Goods,Services,25
